Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.5803883314243237,0.7594024011852425,0.6117794823513375,0.03221762991347913,0.006952216643506204,0.030027909836555056,21
11,0.6063439763081602,0.7766464615822759,0.6384015797401287,0.015281629851087357,0.0028107789809050693,0.013908508342232166,21
12,0.5593951445808367,0.7433006568371318,0.6013352661116143,0.01221420422480297,0.0030991488989162716,0.011551098183339848,21
13,0.6304439469123415,0.742136005443309,0.705246241663932,0.00015922057781841625,0.00013079858798799036,0.00012945917246939896,11
14,0.45301314343340815,0.4954654752729152,0.6702010589185133,0.0004607265867466485,0.0005092262829608608,0.0003149299145247509,4
15,0.6838830162621703,0.7981131381320278,0.7309966311424274,0.0002065599033090817,0.00015886714027633746,0.00017800746255764843,10
16,0.6616101379543309,0.7545439935932385,0.7356637810118718,0.00043255343016138965,0.0004534542976101177,0.00035424718268349146,9
17,0.721620036516536,0.8287822570448939,0.7704452362226826,0.015702034171062543,0.005194559270370509,0.014409302916886996,10
18,0.6757937767024929,0.7865942418717922,0.7519437981957748,0.00022591902899682397,0.0002418642176774352,0.00018079013151991525,8
19,0.6414032134902005,0.7766847281649908,0.6747789045519539,0.01217445277996801,0.002545176966407365,0.011039254626803614,19
20,0.6508314667489392,0.7788952499552992,0.695219922417149,0.03615803701375628,0.010867179987986798,0.031840181536113135,15
21,0.5103326761012346,0.608228954457429,0.7252025624056097,2.2833484008993193e-05,7.759216350203567e-06,1.5651318974884415e-05,5
22,0.6863876167973817,0.7944895242049717,0.7569707439472847,0.00047602930407549774,0.00018885149547247465,0.0003743545414273246,7
23,0.6724166293102578,0.7988064239356166,0.7035954531449,0.021966192558957848,0.0068762163884103595,0.019649045147314487,18
