Sim,ARI-a,AMI-a,FMI-a,ARI-std,AMI-std,FMI-std,clusterNr
10,0.5210196168465154,0.7373128597679841,0.5569607043743869,0.011149061531135904,0.0051190860356076185,0.01084868916829713,21
11,0.6355596202184571,0.794755128868156,0.6683735709243538,0.006269283373584439,0.0011319043873074263,0.005794598778777678,21
12,0.4813992356315617,0.7068319468958619,0.528265779518309,0.018659795848896443,0.006573401887658699,0.017420024313886805,21
13,0.5732814807331801,0.7294622462368114,0.6616212388842221,0.0006507977351313838,0.0002078636461922667,0.000499905073129102,11
14,0.5194096153516549,0.6271337719926189,0.713484670744925,0.0,5.851389114294502e-17,0.0,4
15,0.6756685709342393,0.8135500432091636,0.7236538073521881,0.027871926957223174,0.014484241071358936,0.023804972378687544,10
16,0.6185937141315363,0.7262697547354067,0.6986754123269973,0.0010544106070800511,0.0006414311390961047,0.0008653818091985683,9
17,0.743390836574955,0.8485785338871563,0.7894141646555994,7.583526716317674e-05,0.00014513008708920479,6.329977992062777e-05,10
18,0.6598715909263138,0.76449570302018,0.7385833508636415,5.699625655916325e-05,1.3768642849902074e-05,4.3469409680160124e-05,8
19,0.5543330413029579,0.7435219692667393,0.595114685027259,0.003743346719404468,0.000544381392424604,0.0035203716323704616,19
20,0.5404282481355787,0.7187377089896235,0.5961669536835529,0.005274124848509023,0.0013246009189152486,0.005383893734573401,15
21,0.5227484923351148,0.6411273381487107,0.7333224989499331,0.0,3.510833468576701e-17,0.0,5
22,0.6497593480960467,0.7634657237682947,0.7277881568152365,0.000213204191102332,0.00021492369839578058,0.00017203548735587103,7
23,0.5569545801635194,0.7519875591641711,0.5975219517908619,0.0038419295507158653,0.002703210251543045,0.0037542563583701093,18
