50,,,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,100,,,,,,,,1 to 5,5 to 10,10 to 15,15 to 20,,500,,,,,,,
Simulation,Clust Nr,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS,,,,,,ARI, AMI, Hom, Com, VM, CHS, DBS, SS
1,17,0.45,0.71,0.59,0.88,0.71,59955.84,3.29,0.45,0,0,0,0,0.64,0.83,0.86,0.81,0.83,13595.77,0.65,0.39,0,0,0,0,,0.67,0.83,0.88,0.79,0.83,6757.11,0.79,0.37
1,17,0.5,0.71,0.67,0.76,0.71,12020.44,1,0.26,0,0,0,0,0.5,0.71,0.67,0.76,0.71,12020.44,1,0.26,0,0,0,0,,0.5,0.71,0.67,0.76,0.71,12020.44,1,0.26
1,17,-0.05,0,-0.08,0.13,0,47935.4,2.29,0.19,0,0,0,1,0.15,0.12,0.18,0.06,0.12,1575.33,-0.35,0.13,0,0,0,1,,0.17,0.12,0.2,0.03,0.12,-5263.33,-0.21,0.12
2,20,0.57,0.78,0.79,0.78,0.78,6974.34,1.17,0.27,0,0,0,0,0.69,0.82,0.85,0.79,0.82,8692.44,1.73,0.36,0,0,0,0,,0.75,0.8,0.8,0.8,0.8,6854.22,1.09,0.37
2,20,0.65,0.75,0.68,0.83,0.75,10483.41,2.37,0.15,0,0,0,0,0.65,0.75,0.68,0.83,0.75,10483.41,2.37,0.15,0,0,0,0,,0.65,0.75,0.68,0.83,0.75,10483.41,2.37,0.15
2,20,-0.08,0.03,0.11,-0.05,0.04,-3509.07,-1.2,0.12,0,0,0,1,0.04,0.07,0.17,-0.04,0.07,-1790.97,-0.64,0.2,0,0,0,1,,0.1,0.05,0.11,-0.03,0.05,-3629.19,-1.28,0.21
3,13,0.6,0.78,0.82,0.75,0.78,10218.75,1.64,0.21,0,0,0,0,0.84,0.84,0.82,0.87,0.84,19313.05,1.01,0.42,0,0,0,0,,0.53,0.71,0.65,0.78,0.71,10344.51,1.12,0.3
3,13,0.55,0.68,0.63,0.75,0.68,11668.72,1.24,0.26,0,0,0,0,0.55,0.68,0.63,0.75,0.68,11668.72,1.24,0.26,0,0,0,0,,0.55,0.68,0.63,0.75,0.68,11668.72,1.24,0.26
3,13,0.05,0.1,0.19,0,0.1,-1449.97,0.4,-0.05,0,0,1,0,0.28,0.16,0.19,0.12,0.16,7644.33,-0.23,0.16,0,0,1,0,,-0.03,0.02,0.02,0.03,0.02,-1324.22,-0.12,0.04
4,5,0.51,0.72,0.92,0.58,0.72,4933.93,0.66,0.41,0,0,0,0,0.32,0.61,0.89,0.47,0.61,2923.02,0.71,0.27,0,0,0,0,,0.37,0.63,0.92,0.48,0.63,6229.66,0.81,0.38
4,5,0.55,0.75,0.89,0.65,0.75,7555.09,0.58,0.48,0,0,0,0,0.55,0.75,0.89,0.65,0.75,7555.09,0.58,0.48,0,0,0,0,,0.55,0.75,0.89,0.65,0.75,7555.09,0.58,0.48
4,5,-0.04,-0.04,0.03,-0.06,-0.03,-2621.16,0.08,-0.06,1,0,0,0,-0.23,-0.14,0,-0.18,-0.14,-4632.08,0.14,-0.2,1,0,0,0,,-0.18,-0.12,0.02,-0.16,-0.12,-1325.44,0.24,-0.1
5,16,0,0,0,1,0,12197.24,0,0,0,0,0,0,0.57,0.75,0.8,0.72,0.76,7689.05,0.85,0.28,0,0,0,0,,0.78,0.82,0.82,0.82,0.82,12926.05,0.86,0.4
5,16,0.69,0.75,0.72,0.79,0.75,9072.31,1.32,0.2,0,0,0,0,0.69,0.75,0.72,0.79,0.75,9072.31,1.32,0.2,0,0,0,0,,0.69,0.75,0.72,0.79,0.75,9072.31,1.32,0.2
5,16,-0.69,-0.75,-0.72,0.21,-0.75,3124.93,-1.32,-0.2,0,0,0,1,-0.12,0,0.08,-0.07,0,-1383.26,-0.46,0.08,0,0,0,1,,0.09,0.07,0.1,0.03,0.07,3853.74,-0.46,0.2
6,12,0.66,0.76,0.67,0.89,0.77,10606.5,2.2,0.49,0,0,0,0,0.58,0.77,0.83,0.72,0.77,7597.46,0.93,0.33,0,0,0,0,,0.74,0.76,0.83,0.71,0.76,5360.36,1.09,0.31
6,12,0.5,0.66,0.63,0.69,0.66,8682.12,1.67,0.2,0,0,0,0,0.5,0.66,0.63,0.69,0.66,8682.12,1.67,0.2,0,0,0,0,,0.5,0.66,0.63,0.69,0.66,8682.12,1.67,0.2
6,12,0.16,0.11,0.04,0.2,0.1,1924.38,0.52,0.29,0,0,1,0,0.07,0.11,0.2,0.03,0.11,-1084.66,-0.74,0.13,0,0,1,0,,0.23,0.1,0.2,0.01,0.1,-3321.77,-0.58,0.11
7,18,0.62,0.79,0.73,0.85,0.79,17087.49,0.91,0.39,0,0,0,0,0.38,0.69,0.65,0.73,0.69,6667.41,1.25,0.26,0,0,0,0,,0.48,0.74,0.71,0.78,0.74,12937.15,1.03,0.34
7,18,0.61,0.74,0.68,0.81,0.74,12836.05,1.97,0.22,0,0,0,0,0.61,0.74,0.68,0.81,0.74,12836.05,1.97,0.22,0,0,0,0,,0.61,0.74,0.68,0.81,0.74,12836.05,1.97,0.22
7,18,0.01,0.05,0.05,0.04,0.05,4251.44,-1.06,0.17,0,0,0,1,-0.23,-0.05,-0.03,-0.08,-0.05,-6168.64,-0.72,0.04,0,0,0,1,,-0.13,0,0.02,-0.03,0,101.1,-0.94,0.12
8,3,0.45,0.48,0.9,0.33,0.48,4834.08,0.5,0.53,0,0,0,0,0.12,0.33,0.88,0.21,0.34,1559.19,0.95,0.2,0,0,0,0,,0.25,0.41,0.85,0.27,0.41,1402.51,0.84,0.44
